,ID,Date,Tournament,Round,Tournament_level,Surface,Rank,Rival_rank,Rival_hand,Rival_name,Result,Score,Aces,Double_faults,First_serve_accuracy,First_serve_points,Second_serve_points,Total_serve_points_won,Breakpoints_saved,Breakpoints_todefend,Breakpoints_saved_ratio,Return_1st_serve_points,Return_2nd_serve_points,Total_return_points,Breakpoints_converted,Breakpoints_created,Breakpoints_converted_ratio,Total_points,Service_games_won,Service_games_won_ratio,Return_games_won,Return_games_won_ratio,Total_games,Total_games_ratio,Sets,Tiebreak_played,Tiebreak_won,Startdate,Finaldate
0,ReillyOpelka,2020-08-24,Cincinnati_New York,Quarters,Masters,Hard,39,6,Right,Stefanos Tsitsipas,Lose,"6-5, RET",4,2,0.54,0.75,0.65,0.70,2,2,1.00,0.07,0.22,0.13,0,0,,0.48,6/6,1.00,0/5,0.00,6/11,0.55,1,0,0,2020-08-22,2020-08-31
1,ReillyOpelka,2020-08-24,Cincinnati_New York,R16,Masters,Hard,39,8,Right,Matteo Berrettini,Win,"6-3, 7-6(4)",19,1,0.60,0.94,0.70,0.84,0,0,,0.18,0.37,0.25,1,1,1.00,0.56,11/11,1.00,1/10,0.10,12/21,0.57,2,1,1,2020-08-22,2020-08-31
2,ReillyOpelka,2020-08-24,Cincinnati_New York,R32,Masters,Hard,39,13,Right,Diego Sebastian Schwartzman,Win,"6-3, 7-6(4)",13,6,0.53,0.80,0.44,0.64,5,7,0.71,0.23,0.58,0.36,3,4,0.75,0.51,9/11,0.82,3/10,0.30,12/21,0.57,2,1,1,2020-08-22,2020-08-31
3,ReillyOpelka,2020-08-24,Cincinnati_New York,R64,Masters,Hard,39,77,Left,Cameron Norrie,Win,"6-3, 6-4",18,3,0.64,0.73,0.65,0.70,2,2,1.00,0.29,0.33,0.31,2,4,0.50,0.53,10/10,1.00,2/9,0.22,12/19,0.63,2,0,0,2020-08-22,2020-08-31
4,ReillyOpelka,2020-03-06,Davis Cup QLS R1: USA vs UZB,Other,Davis Cup,Hard,38,156,Right,Denis Istomin,Win,"6-2, 7-5",10,1,0.53,0.93,0.62,0.78,1,1,1.00,0.36,0.53,0.41,3,7,0.43,0.58,10/10,1.00,3/10,0.30,13/20,0.65,2,0,0,2020-03-04,2020-03-13
5,ReillyOpelka,2020-02-17,Delray Beach,Final,ATP,Hard,54,63,Left,Yoshihito Nishioka,Win,"7-5, 6-7(4), 6-2",27,3,0.71,0.87,0.36,0.72,3,4,0.75,0.38,0.28,0.35,4,12,0.33,0.53,15/16,0.94,4/16,0.25,19/32,0.59,3,1,0,2020-02-15,2020-02-24
6,ReillyOpelka,2020-02-17,Delray Beach,Semis,ATP,Hard,54,37,Right,Milos Raonic,Win,"4-6, 7-6(6), 6-3",19,6,0.64,0.86,0.47,0.72,1,2,0.50,0.22,0.58,0.33,2,3,0.67,0.52,14/15,0.93,2/16,0.12,16/31,0.52,3,1,1,2020-02-15,2020-02-24
7,ReillyOpelka,2020-02-17,Delray Beach,Quarters,ATP,Hard,54,82,Right,Soon Woo Kwon,Win,"6-3, 6-4",16,0,0.72,0.79,0.67,0.75,0,0,,0.32,0.40,0.35,2,4,0.50,0.57,10/10,1.00,2/9,0.22,12/19,0.63,2,0,0,2020-02-15,2020-02-24
8,ReillyOpelka,2020-02-17,Delray Beach,R16,ATP,Hard,54,159,Right,Mackenzie Mcdonald,Win,"6-3, 6-4",17,0,0.72,0.89,0.64,0.82,2,2,1.00,0.24,0.40,0.31,2,3,0.67,0.57,10/10,1.00,2/9,0.22,12/19,0.63,2,0,0,2020-02-15,2020-02-24
9,ReillyOpelka,2020-02-17,Delray Beach,R32,ATP,Hard,54,224,Right,Ernests Gulbis,Win,"6-7(5), 6-4, 7-6(4)",20,1,0.66,0.88,0.62,0.79,1,1,1.00,0.23,0.41,0.30,1,8,0.12,0.52,17/17,1.00,1/17,0.06,18/34,0.53,3,2,1,2020-02-15,2020-02-24
